Java Code	Generated C# Code
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}

C# code: "	"public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}

Java code: public void serialize(LittleEndianOutput out) {out.writeShort(field_1_"
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}

C# code: "	public void AddAll(T[] src, int srcOff, int srcLen, int dstDirIdx) {if (srcLen == 0)return;int srcDirIdx = 0;for (; srcDirIdx < srcLen; srcDirIdx++)AddAll(src, srcOff + srcDirIdx, 1, dstDirIdx);if (srcLen < BLOCK_SIZE)AddAll(src, srcOff + srcDirIdx, BLOCK_SIZE - srcDirIdx, dstDirIdx);}
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}

C# code: "	public void WriteShort(short s) {if (upto + 2 > blockSize) {if (currentBlock!= null) {AddBlock(
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public ObjectId getObjectId() {return objectId;}

C# code: "	"public int RowTop {get {return rowTop;}}

Java code: public void setRowTop(int rowTop) {this.row"
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}

C# code: "	"public DeleteDomainEntryResult Run(string actionName, DeleteDomainEntryRequest request, Type responseClass, RequestConfig requestConfig, IResponseHandler<DeleteDomainEntryResult> responseHandler) {return base.Run<DeleteDomainEntryResult>(actionName, request, responseClass, requestConfig, responseHandler);}

Java code: public DeleteDomainEntryResult invoke(String actionName, DeleteDomainEntryRequest request, Class<DeleteDomainEntryResult> responseClass, RequestConfig requestConfig, ResponseHandler<DeleteDomainEntryResult"
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}

C# code: "	"public virtual void SetTermsDictOffsets(TermsDictOffsets termsDictOffsets){this.termsDictOffsets = termsDictOffsets;}

Java code: public void setTermPositions(TermPositions termPositions) {this.termPositions = termPositions;}"
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}

C# code: "	"public virtual string GetFormula2(){byte[] raw = buffer;int formulaB = RawParseUtils.TagFormula(raw, 0);if (formulaB < 0) {return """"; }return RawParseUtils.Decode(guessEncoding(), raw, formulaB + 1, raw.Length);}

Java code: public final String getFormula2Text() {byte[] raw = buffer;int formulaB = RawParseUtils.tagFormula(raw, 0);if (formulaB < 0) {return """"; }"
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}

C# code: "	public POIFSFileSystem(bool readOnly, bool create, bool useTempFile) : base(readOnly, create,
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}

C# code: "	public void Init(int address, int size, int offset, int length) {slice
"Java code: public void write(LittleEndianOutput out) {throw new IllegalStateException(""XSSF-only Ptg, should not be serialised"");}

C# code: public override void Write(ILittleEndianOutput out1){throw new InvalidOperationException(""XSSF-only Ptg, should not be serialised"");}

Java code: public String getColsNamesForValsByRound() {if (colForValByRound.size() == 0) {return """";}StringBuilder sb = new StringBuilder();for (final String colName : colForValByRound.values()) {sb.append(' ').append(colName);}return sb.toString();}

C# code: public virtual string GetColsNamesForValsByRound(){if (colForValByRound.Count == 0){return """";}StringBuilder sb = new StringBuilder();foreach (string name in colForValByRound.Keys){string colName = colForValByRound[name];sb.Append("" "").Append(colName);}return sb.ToString();}

Java code: public SubmoduleAddCommand setPath(String path) {this.path = path;return this;}

C# code: "	public SubmoduleAddCommand SetDryRun(
