C# Code	Java Reference Code	Generated Java Code
"public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
"	"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}
"	public void serialize(LittleEndianOutput out1) {out1.writeShort(field_1_vcenter);out1.writeShort(field_2_hcenter);out1.writeShort(field_3_width);out1.writeShort(field_4_height);out1.writeShort(field_5_level);out1.writeShort(field_6_precision);}  C# code: public override void Serialize(ILittleEndianOutput
"public virtual void AddAll(NGit.Util.BlockList<T> src){if (src.size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx != 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
"	"public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}
"	public void addAll(BlockList<T> src, int srcOff, int len, int srcBlkIdx) {if (len == 0) {return;} int srcDirIdx = 0; for (; srcDirIdx < src.tailDirIdx; srcDirIdx++) {addAll(src.directory[
"public override void WriteByte(byte b){if (outerInstance.upto == outerInstance.blockSize){if (outerInstance.currentBlock != null){outerInstance.blocks.Add(outerInstance.currentBlock);outerInstance.blockEnd.Add(outerInstance.upto);}outerInstance.currentBlock = new byte[outerInstance.blockSize];outerInstance.upto = 0;}outerInstance.currentBlock[outerInstance.upto++] = (byte)b;}
"	"public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
"	public void writeBytes(byte[] b, int offset, int len, int docID) {if (
"public virtual ObjectId GetObjectId(){return objectId;}
"	"public ObjectId getObjectId() {return objectId;}
"	public int getLevelForDistance(double dist) {if (dist == 0)return maxLevels;final int level = GeohashUtils.lookupHashLenForWidthHeight(dist, dist);return Math.max(Math.min(level, maxLevels), 1);}  C# code:
"public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
"	"public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}
"	public DeleteDeviceGroupMemberResponse deleteDeviceGroupMember(DeleteDeviceGroupMemberRequest request){return hcClient.syncInvokeHttp(request, IoTDcMeta.deleteDeviceGroupMember);}  C# code: public virtual DeleteDeviceGroupResponse DeleteDeviceGroup(DeleteDeviceGroupRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDeviceGroupRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDeviceGroupResponseUnmarshaller.Instance;return Invoke<DeleteDevice
"public virtual long RamBytesUsed(){return fst == null ? 0 : fst.GetSizeInBytes();}
"	"public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}
"	public long ramBytesUsedForCachePerLevelPerLevel() {long sum = 0;for (int i = 0; i < cache.numCacheLevels; i++){for
"public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB, raw.Length);}
"	"public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}
"	"public String getMessage(int index) {byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return """";}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB + 1 + index * 2, msgB + 1 + (index + 1) * 2);}  C# code: public string GetMessage(int index, int length){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB + 1 + index * 2, msgB + 1 + (index"
"public POIFSFileSystem(){HeaderBlock headerBlock = new HeaderBlock(bigBlockSize);_property_table = new PropertyTable(headerBlock);_documents      = new ArrayList();_root           = null;}
"	"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
"	public void write(OutputStream stream, boolean leaveOpen, boolean writeProperties, boolean writeRoot, boolean writeDocumentBlocks, boolean writeSmallBlocks) throws IOException {write(stream, leaveOpen, writeProperties, writeRoot, writeDocumentBlocks, writeSmallBlocks, false);}  C# code:
"public void Init(int address){slice = pool.Buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice != null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
"	"public void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}
"	public void init(int address, int length, int offset, int maxOffset) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT]; Debug.Assert(slice!= null); upto = address & ByteBlockPool.BYTE_BLOCK_MASK; offset0 = address + offset; max
"public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
"	"public SubmoduleAddCommand setPath(String path) {this.path = path;return this;}
"	public SubmoduleAddCommand setNoRecurse(boolean no
